"date","state","death","negativeTestsViral","positive","positiveIncrease","totalTestResults"
"12/14/2020","AK","1270","7866561","289610","2675","8221841"
"12/14/2020","AL","29752","0","2173442","26821","12273763"
"12/14/2020","AR","21759","12149477","1361937","15948","13307491"
"12/14/2020","AS","0","0","0","0","14980"
"12/14/2020","AZ","53714","0","3053384","45155","31289359"
"12/14/2020","CA","152760","0","12023669","302690","199321499"
"12/14/2020","CO","29402","0","2101211","20697","27474345"
"12/14/2020","CT","38711","0","1115683","16021","27267228"
"12/14/2020","DC","5076","0","180856","1727","5640758"
"12/14/2020","DE","5894","0","340157","5156","6110544"
"12/14/2020","FL","144035","78095375","8042249","74446","99875352"
"12/14/2020","GA","71882","0","3460357","33544","34043342"
"12/14/2020","GU","833","0","50230","96","645245"
"12/14/2020","HI","1950","0","140966","1016","5279761"
"12/14/2020","IA","23991","12867147","1585071","7936","7949545"
"12/14/2020","ID","8623","0","877032","8437","3605639"
"12/14/2020","IL","111743","0","6151165","51466","85084255"
"12/14/2020","IN","50096","0","3128447","38920","35728782"
"12/14/2020","KS","15747","0","1370452","15132","6436412"
"12/14/2020","KY","16153","0","1637497","19217","20763445"
"12/14/2020","LA","48667","0","1947798","17532","27223488"
"12/14/2020","MA","80886","0","2163477","32953","69293982"
"12/14/2020","MD","37155","0","1708189","16161","36179249"
"12/14/2020","ME","1932","6931054","124343","3023","7095114"
"12/14/2020","MI","82189","49665479","3405109","30897","53070588"
"12/14/2020","MN","32531","0","2725431","18496","34169535"
"12/14/2020","MO","33595","21047754","2496243","20145","23852494"
"12/14/2020","MP","14","0","797","2","122577"
"12/14/2020","MS","30223","0","1314797","14886","8872417"
"12/14/2020","MT","5912","0","527251","3867","5188982"
"12/14/2020","NC","42313","0","3215040","42573","43485911"
"12/14/2020","ND","8448","0","623595","2168","8308170"
"12/14/2020","NE","10075","9935643","1064729","7727","11163671"
"12/14/2020","NH","4406","0","239228","5586","6590163"
"12/14/2020","NJ","126221","0","2932502","31942","48853115"
"12/14/2020","NM","14584","0","880681","10193","12526625"
"12/14/2020","NV","18710","0","1376681","17112","13286633"
"12/14/2020","NY","197610","0","5713078","72882","158964282"
"12/14/2020","OH","54921","0","4174000","60079","49811638"
"12/14/2020","OK","14992","15165293","1743657","23170","16908950"
"12/14/2020","OR","8905","15692480","692712","9077","16657293"
"12/14/2020","PA","93427","0","3700634","63900","25417512"
"12/14/2020","PR","9254","2123884","456617","6002","2598421"
"12/14/2020","RI","11192","11927869","536243","4293","12575339"
"12/14/2020","SC","33852","17360587","1846008","21200","19727982"
"12/14/2020","SD","9161","0","651688","3689","2498392"
"12/14/2020","TN","40660","32429206","3441643","65382","36377295"
"12/14/2020","TX","172661","0","10752216","108957","87034097"
"12/14/2020","UT","7804","12855790","1704788","17060","14527993"
"12/14/2020","VA","31836","0","2070999","24939","26732905"
"12/14/2020","VI","161","0","13072","130","226776"
"12/14/2020","VT","732","0","42967","690","4448119"
"12/14/2020","WA","21117","0","1514964","11125","23987912"
"12/14/2020","WI","31911","0","3376997","23768","34781947"
"12/14/2020","WV","7441","0","478737","9125","9554781"
"12/14/2020","WY","2381","2944223","285251","2302","3196600"
"12/07/2020","AK","1107","7454735","265681","4018","7784094"
"12/07/2020","AL","28143","0","1991250","25754","11762506"
"12/07/2020","AR","19802","11617279","1253451","14778","12696517"
"12/07/2020","AS","0","0","0","0","14980"
"12/07/2020","AZ","50082","0","2719673","44166","29097429"
"12/07/2020","CA","143126","0","10185836","210066","184303589"
"12/07/2020","CO","25803","0","1938048","27612","25504636"
"12/07/2020","CT","37167","0","997912","19046","25448629"
"12/07/2020","DC","4951","0","168734","1738","5306980"
"12/07/2020","DE","5643","0","301758","5548","5681166"
"12/07/2020","FL","138882","73934271","7539752","66376","94504406"
"12/07/2020","GA","69802","0","3234022","32222","32359908"
"12/07/2020","GU","804","0","49411","102","626305"
"12/07/2020","HI","1872","0","134560","757","5049028"
"12/07/2020","IA","21400","12414126","1527256","8758","7780562"
"12/07/2020","ID","7723","0","810781","10927","3481027"
"12/07/2020","IL","103696","0","5759942","61331","80378896"
"12/07/2020","IN","46039","0","2840398","43817","33367278"
"12/07/2020","KS","13810","0","1263538","16999","6146903"
"12/07/2020","KY","15015","0","1491730","22472","19795440"
"12/07/2020","LA","47019","0","1823936","17490","25923728"
"12/07/2020","MA","78399","0","1923704","33734","64967592"
"12/07/2020","MD","35036","0","1580925","19620","34059577"
"12/07/2020","ME","1722","6566272","103888","2575","6709083"
"12/07/2020","MI","76008","47367931","3173278","38583","50541209"
"12/07/2020","MN","29434","0","2571481","27961","32230966"
"12/07/2020","MO","30877","20260246","2344704","22743","22896159"
"12/07/2020","MP","14","0","785","7","120835"
"12/07/2020","MS","28605","0","1210423","14516","8394523"
"12/07/2020","MT","5496","0","496779","5428","4944178"
"12/07/2020","NC","39911","0","2919998","41605","40714724"
"12/07/2020","ND","7745","0","606301","3164","8051391"
"12/07/2020","NE","9049","9393222","1007827","9120","10548275"
"12/07/2020","NH","4079","0","198964","6185","6227627"
"12/07/2020","NJ","123057","0","2704128","32634","45443672"
